Item Code,Item Name,Stock on Hand
RM-001,Wheat Flour,630
RM-002,Sugar,330
RM-003,Butter,84
RM-004,Eggs,840
RM-005,Milk,147
RM-006,Cocoa Powder,112
RM-007,Baking Powder,12
RM-008,Vanilla Essence,810
RM-009,Whipping Cream,224
RM-010,Strawberry Jam,33
RM-011,Icing Sugar,136
RM-012,Lemon Extract,510
RM-013,Rye Flour,270
RM-014,Whole Wheat Flour,231
RM-015,Cornflour,86
RM-016,Oat Flour,78
RM-017,Almond Flour,168
RM-018,Rice Flour,38
RM-019,Semolina,88
RM-020,Brown Sugar,240
RM-021,Caster Sugar,240
RM-022,Honey,104
RM-023,Golden Syrup,108
RM-024,Maple Syrup,32
RM-025,Glucose Syrup,112
RM-026,Molasses,28
RM-027,Demerara Sugar,99
RM-028,Vegetable Oil,78
RM-029,Sunflower Oil,47
RM-030,Olive Oil,14
RM-031,Shortening,75
RM-032,Ghee,35
RM-033,Cream Cheese,105
RM-034,Sour Cream,128
RM-035,Condensed Milk,66
RM-036,Buttermilk,56
RM-037,Fresh Cream,300
RM-038,Yogurt,99
RM-039,Yeast,4
RM-040,Cream of Tartar,4
RM-041,Cinnamon,5
RM-042,Nutmeg,1
RM-043,Cardamom,4
RM-044,Ginger Powder,4
RM-045,Coffee Extract,6
RM-046,Vanilla Bean Paste,10
RM-047,Almond Essence,4
RM-048,Cocoa Butter,10
RM-049,Dark Chocolate,128
RM-050,White Chocolate,82
RM-051,Chocolate Chips,86
RM-052,Caramel,39
RM-053,Hazelnut Spread,74
RM-054,Raspberry Jam,22
RM-055,Blueberry Jam,56
RM-056,Mango Puree,40
RM-057,Coconut Flakes,26
RM-058,Chopped Nuts,88
RM-059,Peanut Butter,48
RM-060,Lemon Curd,20
